Row Number,Idx_Sample,Utility,Novelty,Uncertainty,fc 28-d - Target (MPa),Slump - Target (mm),SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff
133,1583,2.639276146888733,0.25790771147167924,40.975266,49.53857,131.4891,47.085,18.3,0.45,190,190,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857
135,1585,2.5654171109199524,0.5300507109541345,42.522617,49.05908,134.10431,47.085,18.3,0.45,200,200,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429
136,1586,2.563767731189728,0.6770136864985514,42.885212,48.9573,134.72772,47.085,18.3,0.45,205,205,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714
132,1582,2.548554837703705,0.12825506926518274,39.90385,49.774715,129.58241,47.085,18.3,0.45,185,185,1081.5584,775.84155,1857.4,158.57143,18.24,47.57,14.8,144.77571
26,1426,2.51859650015831,0.0004910066812628813,39.276566,49.92862,128.48175,47.085,18.3,0.45,180,180,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286
134,1584,2.4905000925064087,0.39109374116373385,41.77896,49.21491,132.77283,47.085,18.3,0.45,195,195,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143
137,1587,2.4574390649795532,0.7538197346515872,43.15865,48.809532,135.12683,47.085,18.3,0.45,210,210,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34
108,1556,2.1261961460113525,0.34951567054298993,40.70257,49.267555,130.6727,47.085,18.3,0.45,205,205,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821
107,1555,2.1071173548698425,0.2774231310243047,40.373215,49.3461,130.09253,47.085,18.3,0.45,200,200,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143
33,1434,2.0869637578725815,0.9944273063504923,44.491837,48.189053,137.17273,47.085,18.3,0.45,225,225,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857
140,1590,2.085226848721504,0.9942097028937521,44.49223,48.18777,137.17223,47.085,18.3,0.45,225,225,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857
106,1554,2.0484930276870728,0.23664759570811114,39.602383,49.520485,128.72525,47.085,18.3,0.45,195,195,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464
109,1557,2.044770061969757,0.4582141961995155,40.935852,49.147766,131.01947,47.085,18.3,0.45,210,210,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485
