SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff,fc 28-d - Target (MPa),Utility,Novelty,Uncertainty
52.295,12.58,0.27,252.0,108.0,1090.8,774.0,1864.8,115.71429,13.31,34.71,14.4,107.80714,48.976006,48.976006,0.39479536694094597,0.0
52.295,12.58,0.27,252.0,108.0,1090.8,774.0,1864.8,128.57143,14.79,38.57,14.4,118.82571,48.92766,48.92766,0.47974427298445343,0.0
52.295,12.58,0.27,252.0,108.0,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429,49.114265,49.114265,0.5053761437993725,0.0
52.295,12.58,0.27,252.0,108.0,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286,49.53718,49.53718,0.4735963105390526,0.0
52.295,12.58,0.27,294.0,126.0,966.0,810.6,1776.6,135.0,15.53,40.5,16.8,125.775,49.633915,49.633915,0.4767189043309116,0.0
52.295,12.58,0.27,294.0,126.0,966.0,810.6,1776.6,150.0,17.25,45.0,16.8,138.63,50.169903,50.169903,0.4675897147410397,0.0
52.295,12.58,0.27,294.0,126.0,966.0,810.6,1776.6,165.0,18.98,49.5,16.8,151.485,50.56159,50.56159,0.38389812021820857,0.0
52.295,12.58,0.27,294.0,126.0,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34,50.649338,50.649338,0.24665903465424122,0.0
52.295,12.58,0.27,315.0,135.0,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.374493,49.374493,0.4515008027924372,0.0
52.295,12.58,0.27,315.0,135.0,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.917904,48.917904,0.38436227201966955,0.0
52.295,12.58,0.27,315.0,135.0,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.886612,48.886612,0.25251667233306474,0.0
52.295,12.58,0.27,315.0,135.0,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857,49.105083,49.105083,0.08119855413118082,0.0
49.69,15.44,0.36,216.0,144.0,1090.8,774.0,1864.8,115.71429,13.31,34.71,14.4,107.80714,49.528637,49.528637,0.4859005512121086,0.0
49.69,15.44,0.36,216.0,144.0,1090.8,774.0,1864.8,128.57143,14.79,38.57,14.4,118.82571,49.243286,49.243286,0.5902968478208911,0.0
49.69,15.44,0.36,216.0,144.0,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429,49.13713,49.13713,0.6291992756336287,0.0
49.69,15.44,0.36,216.0,144.0,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286,49.310436,49.310436,0.5977979265464641,0.0
49.69,15.44,0.36,252.0,168.0,966.0,810.6,1776.6,135.0,15.53,40.5,16.8,125.775,50.39415,50.39415,0.5936642931609533,0.0
49.69,15.44,0.36,252.0,168.0,966.0,810.6,1776.6,150.0,17.25,45.0,16.8,138.63,50.29367,50.29367,0.590032101752094,0.0
49.69,15.44,0.36,252.0,168.0,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34,49.89426,49.89426,0.33597015356407667,0.0
49.69,15.44,0.36,270.0,180.0,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.072376,49.072376,0.5825591058601292,0.0
49.69,15.44,0.36,270.0,180.0,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.48459,48.48459,0.49938922530766094,0.0
49.69,15.44,0.36,270.0,180.0,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.429337,48.429337,0.34601045654886686,0.0
49.69,15.44,0.36,270.0,180.0,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857,48.49797,48.49797,0.15607122769379034,0.0
47.085,18.3,0.45,180.0,180.0,1090.8,774.0,1864.8,115.71429,13.31,34.71,14.4,107.80714,50.34667,50.34667,0.47161172479817404,0.0
47.085,18.3,0.45,180.0,180.0,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429,50.006615,50.006615,0.6244549410786538,0.0
47.085,18.3,0.45,180.0,180.0,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286,49.676697,49.676697,0.5927159694698894,0.0
47.085,18.3,0.45,210.0,210.0,966.0,810.6,1776.6,135.0,15.53,40.5,16.8,125.775,50.41986,50.41986,0.5806060334966249,0.0
47.085,18.3,0.45,210.0,210.0,966.0,810.6,1776.6,165.0,18.98,49.5,16.8,151.485,49.218624,49.218624,0.48027069462355376,0.0
47.085,18.3,0.45,210.0,210.0,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34,49.10687,49.10687,0.3230403500179706,0.0
47.085,18.3,0.45,225.0,225.0,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893,49.435387,49.435387,0.5739813390080843,0.0
47.085,18.3,0.45,225.0,225.0,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214,48.810627,48.810627,0.48907445016533924,0.0
47.085,18.3,0.45,225.0,225.0,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536,48.60168,48.60168,0.3355726541823314,0.0
47.085,18.3,0.45,225.0,225.0,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857,48.42447,48.42447,0.14716969904528643,0.0
52.295,12.58,0.27,252.0,108.0,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,48.97697,48.97697,0.3947662137223371,0.0
